STT,MaSinhVien,LinkAvatar,HoTen,GioiTinh,SoDienThoai,NgaySinh,DanToc,SoCCCD,TinhThanhPho,QuanHuyen,QuocGia,DiaChiThuongTru,TrinhDoNgoaiNgu,TinhTrangHoc,MaNganh,NienKhoa,LoaiHinhDaoTao,LopSinhVien,ChucVu,CoVanHocTap,LH_CVHT,TenNganHang,SoTaiKhoan,EmailNganHang,TenNguoiThan,QuanHe,SDTNguoiThan,DiaChiNguoiThan
14,SV014,avatar14.jpg,Pham Thi N,Nu,901000014,2/2/2001,Kinh,1.23457E+11,HCM,Quan 7,Vietnam,137 Duong N,B2,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567903,sv014@bank.com,Pham Van D1,Cha,901111126,137 Duong N
15,SV015,avatar15.jpg,Ho Van O,Nam,901000015,3/3/2001,Kinh,1.23457E+11,HCM,Quan 9,Vietnam,138 Duong O,B1,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567904,sv015@bank.com,Ho Thi E1,Me,901111127,138 Duong O
16,SV016,avatar16.jpg,Vo Thi P,Nu,901000016,4/4/2001,Kinh,1.23457E+11,HCM,Quan 10,Vietnam,139 Duong P,B2,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567905,sv016@bank.com,Vo Van F1,Cha,901111128,139 Duong P
17,SV017,avatar17.jpg,Dang Van Q,Nam,901000017,5/5/2001,Kinh,1.23457E+11,HCM,Quan 11,Vietnam,140 Duong Q,B1,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567906,sv017@bank.com,Dang Thi G1,Me,901111129,140 Duong Q
18,SV018,avatar18.jpg,Bui Thi R,Nu,901000018,6/6/2001,Kinh,1.23457E+11,HCM,Quan 12,Vietnam,141 Duong R,B2,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567907,sv018@bank.com,Bui Van H1,Cha,901111130,141 Duong R
19,SV019,avatar19.jpg,Nguyen Van S,Nam,901000019,7/7/2001,Kinh,1.23457E+11,HCM,Quan Binh Thanh,Vietnam,142 Duong S,B1,BaoLuu,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567908,sv019@bank.com,Nguyen Thi I1,Me,901111131,142 Duong S
20,SV020,avatar20.jpg,Tran Thi T,Nu,901000020,8/8/2001,Kinh,1.23457E+11,HCM,Quan Go Vap,Vietnam,143 Duong T,B2,BaoLuu,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567909,sv020@bank.com,Tran Van J1,Cha,901111132,143 Duong T
21,SV021,avatar21.jpg,Le Van U,Nam,901000021,9/9/2001,Kinh,1.23457E+11,HCM,Quan 1,Vietnam,144 Duong U,B1,BaoLuu,QTKD,2020-2024,Chinh quy,QTKD01,Lop truong,GV C,901111133,Vietcombank,1234567910,sv021@bank.com,Le Thi K1,Me,901111134,144 Duong U
22,SV022,avatar22.jpg,Pham Thi V,Nu,901000022,10/10/2001,Kinh,1.23457E+11,HCM,Quan 3,Vietnam,145 Duong V,B2,BaoLuu,QTKD,2020-2024,Chinh quy,QTKD01,Lop pho,GV C,901111133,Vietcombank,1234567911,sv022@bank.com,Pham Van L1,Cha,901111135,145 Duong V
23,SV023,avatar23.jpg,Ho Van W,Nam,901000023,11/11/2001,Kinh,1.23457E+11,HCM,Quan 5,Vietnam,146 Duong W,B1,BaoLuu,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567912,sv023@bank.com,Ho Thi M1,Me,901111136,146 Duong W
24,SV024,avatar24.jpg,Vo Thi X,Nu,901000024,12/12/2001,Kinh,1.23457E+11,HCM,Quan 7,Vietnam,147 Duong X,B2,BaoLuu,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567913,sv024@bank.com,Vo Van N1,Cha,901111137,147 Duong X
25,SV025,avatar25.jpg,Dang Van Y,Nam,901000025,1/1/2002,Kinh,1.23457E+11,HCM,Quan 9,Vietnam,148 Duong Y,B1,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567914,sv025@bank.com,Dang Thi O1,Me,901111138,148 Duong Y
26,SV026,avatar26.jpg,Bui Thi Z,Nu,901000026,2/2/2002,Kinh,1.23457E+11,HCM,Quan 10,Vietnam,149 Duong Z,B2,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567915,sv026@bank.com,Bui Van P1,Cha,901111139,149 Duong Z
27,SV027,avatar27.jpg,Nguyen Van A2,Nam,901000027,3/3/2002,Kinh,1.23457E+11,HCM,Quan 11,Vietnam,150 Duong A2,B1,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567916,sv027@bank.com,Nguyen Thi Q1,Me,901111140,150 Duong A2
28,SV028,avatar28.jpg,Tran Thi B2,Nu,901000028,4/4/2002,Kinh,1.23457E+11,HCM,Quan 12,Vietnam,151 Duong B2,B2,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567917,sv028@bank.com,Tran Van R1,Cha,901111141,151 Duong B2
29,SV029,avatar29.jpg,Le Van C2,Nam,901000029,5/5/2002,Kinh,1.23457E+11,HCM,Quan Binh Thanh,Vietnam,152 Duong C2,B1,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567918,sv029@bank.com,Le Thi S1,Me,901111142,152 Duong C2
30,SV030,avatar30.jpg,Pham Thi D2,Nu,901000030,6/6/2002,Kinh,1.23457E+11,HCM,Quan Go Vap,Vietnam,153 Duong D2,B2,Dang hoc,QTKD,2020-2024,Chinh quy,QTKD01,Sinh vien,GV C,901111133,Vietcombank,1234567919,sv030@bank.com,Pham Van T1,Cha,901111143,153 Duong D2
